Name,Long,Lat,Con_41520,Con_43020
155,-90.12961,29.947477,0,0
156,-90.12997,29.94752,0,0
157,-90.13033,29.947882,0,0
158,-90.13012,29.947678,0,0
159,-90.130394,29.947948,0,0
160,-90.13049,29.948416,0,0
161,-90.13088,29.94831,0,0
162,-90.13112,29.948465,0,0
163,-90.131134,29.948479,0,0
164,-90.13191,29.949146,0,0
165,-90.13196,29.949123,0,0
166,-90.13298,29.950148,0,0
167,-90.1325,29.949488,0,0
168,-90.13254,29.949377,0,0
169,-90.13219,29.949194,0,40
170,-90.13201,29.949116,0,100
171,-90.13194,29.949028,80,5
172,-90.13132,29.948292,0,0
174,-90.1309,29.948215,0,0
175,-90.13078,29.947985,0,0
176,-90.130226,29.947647,0,0
177,-90.12994,29.94741,0,0
178,-90.13006,29.947271,0,0
179,-90.13024,29.94718,0,0
180,-90.12764,29.94964,0,0
181,-90.1278,29.949804,0,0
182,-90.1278,29.949728,0,0
183,-90.12793,29.949705,0,0
184,-90.12773,29.949615,0,0
185,-90.12768,29.949406,0,0
186,-90.12784,29.949389,0,0
187,-90.12873,29.948858,0,0
188,-90.134926,29.951242,0,0
189,-90.13509,29.951101,0,0
190,-90.135735,29.952393,0,0
191,-90.13561,29.95245,0,0
