Name,Long,Lat,Con_4920,Con_41620,Con_50120,Con_50620
41,-90.06653,29.943462,0,0,0,0
42,-90.06664,29.943563,0,0,0,0
43,-90.06666,29.94432,0,0,0,0
44,-90.06656,29.944952,0,0,0,0
45,-90.06607,29.942465,NA,NA,0,0
46,-90.066536,29.946426,0,0,0,0
47,-90.066605,29.945988,0,0,5,0
48,-90.06657,29.944109,0,0,0,0
49,-90.06567,29.94237,0,0,NA,0
50,-90.0658,29.943544,0,0,0,0
51,-90.066414,29.945147,45,0,10,0
52,-90.06589,29.943396,0,0,0,0
53,-90.066605,29.946882,0,35,30,35
54,-90.06586,29.944345,0,0,0,0
55,-90.065834,29.945572,0,0,0,0
56,-90.065895,29.945358,0,10,40,0
57,-90.06562,29.941685,0,0,0,0
58,-90.065865,29.944326,0,0,0,0
59,-90.06574,29.945473,0,0,0,0
60,-90.06563,29.941582,0,0,0,0
61,-90.06737,29.94645,0,0,20,0
62,-90.06726,29.947296,0,0,0,0
63,-90.06717,29.947556,20,0,0,0
64,-90.06758,29.944637,0,0,0,NA
65,-90.067245,29.943388,0,0,0,0
66,-90.06701,29.945593,0,0,20,0
67,-90.06866,29.945183,0,0,0,0
68,-90.06875,29.947176,5,0,5,0
69,-90.06764,29.944998,0,0,0,0
70,-90.067406,29.945719,0,0,0,0
71,-90.06843,29.946053,0,0,0,0
71,-90.06717,29.946447,0,0,0,0
72,-90.06793,29.947615,NA,0,5,0
73,-90.067726,29.948704,20,NA,NA,0
74,-90.0674,29.947256,0,0,0,0
75,-90.06845,29.946657,0,0,0,0
76,-90.066734,29.948862,0,0,0,0
77,-90.06905,29.946821,0,20,0,0
78,-90.06907,29.947992,0,0,0,0
79,-90.06876,29.947857,0,0,0,0
80,-90.06869,29.946032,0,0,0,0
