Name,Long,Lat,Con_41520,Con_50120,Con_52020,Con_60420
1,-90.064835,29.94035,30,10,90,0
2,-90.06466,29.940365,25,40,25,0
3,-90.065186,29.940268,0,5,0,0
4,-90.06496,29.940441,50,5,5,0
5,-90.06523,29.940292,15,10,0,0
6,-90.06529,29.94027,10,5,40,20
7,-90.06562,29.940405,30,20,0,0
8,-90.0656,29.940674,0,0,0,0
9,-90.065506,29.940786,0,0,0,0
10,-90.064804,29.940819,100,0,50,0
11,-90.06993,29.942856,0,0,0,0
12,-90.07001,29.9428,0,0,0,0
13,-90.070114,29.942682,40,45,0,0
14,-90.069786,29.942583,0,0,0,0
15,-90.07001,29.9428,5,5,0,0
16,-90.068924,29.94278,0,0,0,0
17,-90.06935,29.942665,0,0,0,0
18,-90.0695,29.942532,5,5,0,0
19,-90.070015,29.942724,0,0,0,0
20,-90.07001,29.942923,0,10,0,0
21,-90.071144,29.941519,5,NA,0,0
22,-90.0713,29.941689,0,15,0,5
23,-90.07119,29.941769,15,35,0,5
24,-90.0712,29.941809,10,30,0,0
25,-90.0712,29.941833,5,5,15,0
26,-90.07122,29.941849,25,40,15,0
27,-90.07125,29.941921,55,50,0,0
28,-90.071396,29.941992,90,15,0,0
29,-90.07149,29.94202,65,30,0,15
30,-90.07163,29.942005,5,15,NA,0
31,-90.07054,29.948887,0,0,0,30
32,-90.07061,29.94879,100,0,0,0
33,-90.0698,29.9487,100,0,0,0
34,-90.06984,29.948645,100,35,0,0
35,-90.07013,29.9479,100,5,0,20
36,-90.07016,29.947905,100,0,0,100
37,-90.070854,29.94801,100,0,0,0
38,-90.0708,29.94813,100,0,0,50
39,-90.070465,29.948221,100,NA,0,0
40,-90.07015,29.948473,100,NA,NA,100
